# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "./GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-T" "8" "-o" "./counts_oxi.txt" "-s" "0" "./Nvie_2oxi_1_mRNA_sorted.bam" "./Nvie_2oxi_2_mRNA_sorted.bam" "./Nvie_2oxi_3_mRNA_sorted.bam" "./Nvie_2oxi_4_mRNA_sorted.bam" "./Nvie_2oxi_5_mRNA_sorted.bam" "./Nvie_ctrl_1_mRNA_sorted.bam" "./Nvie_ctrl_2_mRNA_sorted.bam" "./Nvie_ctrl_3_mRNA_sorted.bam" "./Nvie_ctrl_4_mRNA_sorted.bam" "./Nvie_ctrl_5_mRNA_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Nvie_2oxi_1_mRNA_sorted.bam	./Nvie_2oxi_2_mRNA_sorted.bam	./Nvie_2oxi_3_mRNA_sorted.bam	./Nvie_2oxi_4_mRNA_sorted.bam	./Nvie_2oxi_5_mRNA_sorted.bam	./Nvie_ctrl_1_mRNA_sorted.bam	./Nvie_ctrl_2_mRNA_sorted.bam	./Nvie_ctrl_3_mRNA_sorted.bam	./Nvie_ctrl_4_mRNA_sorted.bam	./Nvie_ctrl_5_mRNA_sorted.bam
gene1716	CP007536.1	1375667	1376806	-	1140	182	54	184	48	89	2031	1545	2706	1530	2246
gene1717	CP007536.1	1376799	1378172	-	1374	10856	11534	9032	8165	9122	27702	25230	33710	15670	23577
gene1718	CP007536.1	1378181	1378876	-	696	410	514	198	266	836	1165	733	803	238	709
gene1719	CP007536.1	1378953	1379792	+	840	278	286	578	164	278	1866	1326	2266	849	1222
gene1720	CP007536.1	1379789	1382926	+	3138	380	242	643	607	390	8376	8167	10864	5945	7602
gene1721	CP007536.1	1382961	1384010	+	1050	1043	1649	898	1369	530	5708	4012	4500	2605	3906
gene1722	CP007536.1	1384007	1385455	+	1449	745	489	447	579	1338	4792	3402	4175	1999	2373
gene1723	CP007536.1	1385590	1385979	-	390	883	540	497	538	664	14124	12285	9302	5057	7397
gene1724	CP007536.1	1386058	1386222	-	165	1037	956	378	446	548	835	1892	2270	720	573
gene1725	CP007536.1	1386284	1386892	-	609	438	904	674	882	609	6531	7666	9186	4583	6916
gene1726	CP007536.1	1387029	1387982	-	954	897	661	694	383	1813	9765	3712	3775	2156	4199
gene1727	CP007536.1	1388099	1389067	+	969	3787	5764	4382	4306	4863	3516	2610	3398	1444	2401
gene1728	CP007536.1	1389330	1390724	+	1395	2656	3520	3459	1617	1346	3264	3765	7624	3790	3204
gene1729	CP007536.1	1391036	1391155	+	120	0	0	0	0	0	197	388	267	236	176
gene1730	CP007536.1	1391343	1392404	-	1062	924	666	846	380	1404	9283	7532	9600	4239	5569
gene1731	CP007536.1	1392486	1392833	+	348	0	0	0	0	130	127	95	117	92	59
gene1732	CP007536.1	1392835	1393230	+	396	313	230	568	52	212	2021	1262	1728	1063	1605
gene1733	CP007536.1	1393235	1394620	-	1386	206	698	703	634	774	9171	3884	4790	2863	4763
gene1734	CP007536.1	1394682	1395269	-	588	0	0	0	0	0	142	182	190	104	63
gene1735	CP007536.1	1395331	1395798	-	468	0	0	0	0	0	17	20	30	8	10
gene1736	CP007536.1	1395974	1396924	-	951	0	0	0	0	0	121	122	114	23	47
gene1737	CP007536.1	1396965	1397675	-	711	0	0	0	18	0	14	64	34	40	47
gene1738	CP007536.1	1397861	1398316	+	456	0	0	0	0	0	279	246	221	82	188
gene1739	CP007536.1	1398482	1399153	-	672	23	0	0	0	0	51	168	97	36	36
gene1740	CP007536.1	1399227	1399700	-	474	0	0	0	0	0	213	116	202	79	132
gene1741	CP007536.1	1399699	1400637	+	939	136	0	122	0	255	10309	5289	4520	2551	5133
gene1742	CP007536.1	1400688	1401146	+	459	22	0	110	138	0	7113	6906	5787	1830	3620
gene1743	CP007536.1	1401203	1401754	-	552	0	0	0	0	0	2513	2163	1477	698	839
gene1744	CP007536.1	1401842	1402567	-	726	23	0	0	0	0	171	72	142	46	30
gene1745	CP007536.1	1402719	1403654	+	936	112	106	54	108	0	166	354	654	379	386
gene1746	CP007536.1	1403707	1404297	-	591	388	298	116	0	230	416	364	519	282	293
gene1747	CP007536.1	1404390	1405274	-	885	899	464	288	148	386	659	762	1475	887	748
gene1748	CP007536.1	1405474	1406337	-	864	1	0	0	0	93	678	341	565	335	440
gene1749	CP007536.1	1406344	1406736	-	393	123	0	0	0	140	305	395	232	149	170
gene1750	CP007536.1	1406815	1407423	-	609	46572	55684	23239	22895	7933	979	516	674	422	451
gene1751	CP007536.1	1407636	1408097	-	462	365	782	100	422	542	7351	5580	5204	3859	4236
gene1752	CP007536.1	1408054	1409235	-	1182	1148	590	849	306	909	13790	8866	9387	4794	7005
gene1753	CP007536.1	1409232	1410035	-	804	588	244	488	343	885	8441	4956	5264	3222	4070
gene1754	CP007536.1	1410032	1411084	-	1053	2395	1912	1699	1282	1924	30351	19587	18511	11452	14035
gene1755	CP007536.1	1411229	1412092	-	864	480	987	226	354	1145	20473	12220	11646	6605	10477
gene1756	CP007536.1	1412099	1412272	-	174	0	0	0	0	0	268	581	313	110	110
gene1757	CP007536.1	1412289	1413521	-	1233	2970	2219	3013	2174	3207	44697	30187	28146	16931	24328
gene1758	CP007536.1	1413574	1414263	+	690	0	152	10	0	308	915	636	446	314	374
gene1759	CP007536.1	1414409	1414567	+	159	0	0	0	0	0	86	154	124	67	89
gene1760	CP007536.1	1414570	1414758	-	189	0	0	0	0	0	181	473	417	202	159
gene1761	CP007536.1	1414922	1415833	+	912	124	62	116	124	398	2949	2179	3021	1569	1901
gene1762	CP007536.1	1415823	1416269	-	447	228	358	88	29	0	828	646	790	416	578
gene1763	CP007536.1	1416330	1416668	-	339	1460	1106	653	563	855	288	394	472	200	329
gene1764	CP007536.1	1416826	1417374	-	549	142	210	214	140	1	206	562	571	240	200
gene1765	CP007536.1	1417579	1418394	-	816	96	0	24	116	0	806	725	537	237	197
gene1766	CP007536.1	1418528	1418604	-	77	0	0	0	0	0	13	35	57	13	20
gene1767	CP007536.1	1418693	1418800	+	108	0	0	0	0	0	0	24	2	0	0
gene1768	CP007536.1	1418901	1419176	+	276	503	303	264	400	357	1609	1338	1519	899	1018
gene1769	CP007536.1	1419228	1419331	+	104	16	60	28	0	0	562	606	560	261	296
gene1770	CP007536.1	1419388	1419723	+	336	1711	1742	1884	880	1563	21203	11870	9803	6342	10022
gene1771	CP007536.1	1419651	1419751	-	101	0	0	0	0	0	15	58	20	10	29
gene1772	CP007536.1	1419811	1420044	-	234	1369	195	52	1010	0	172	161	145	96	198
gene1773	CP007536.1	1420031	1420438	-	408	1371	254	78	967	340	234	239	266	125	175
gene1774	CP007536.1	1420669	1421559	-	891	2815	3596	6044	1989	8081	42061	21435	26234	14962	27941
gene1775	CP007536.1	1421566	1422276	-	711	1298	1143	1520	476	1856	22131	11714	15739	8281	14378
gene1776	CP007536.1	1422562	1423857	+	1296	148	458	232	0	0	971	988	1281	711	953
gene1777	CP007536.1	1424086	1424976	-	891	0	0	0	0	44	2905	2800	2376	1240	1788
gene1778	CP007536.1	1424948	1425478	-	531	58	0	0	0	0	2385	1586	1822	1060	1361
gene1779	CP007536.1	1425429	1426106	-	678	0	44	0	0	0	3952	4031	4021	2453	3409
gene1780	CP007536.1	1426114	1426305	-	192	0	0	0	0	0	41	184	126	35	43
gene1781	CP007536.1	1426377	1427399	-	1023	66	182	22	144	536	9121	7578	9604	6426	9504
gene1782	CP007536.1	1427444	1431052	-	3609	7936374	7021947	7799279	6206230	6118703	2717041	2295873	2948290	2116757	2679356
gene1783	CP007536.1	1431366	1431431	-	66	0	0	0	0	0	0	14	8	0	4
gene1784	CP007536.1	1431493	1431624	-	132	0	0	0	0	0	18	24	10	28	18
gene1785	CP007536.1	1431755	1432624	-	870	0	0	0	0	0	379	432	276	233	120
gene1786	CP007536.1	1432823	1433044	+	222	0	0	0	0	0	269	370	275	141	119
gene1787	CP007536.1	1433048	1433290	-	243	149	208	120	124	0	2172	2951	2320	934	1288
gene1788	CP007536.1	1433537	1435636	-	2100	126	224	59	0	431	2260	1672	2041	823	1538
gene1789	CP007536.1	1435633	1436790	-	1158	19	60	120	0	0	3127	2554	2796	1211	2875
gene1790	CP007536.1	1437106	1437363	-	258	24	0	0	0	0	109	66	95	48	44
gene1791	CP007536.1	1437360	1437590	-	231	0	0	0	0	0	6	39	13	8	24
gene1792	CP007536.1	1437618	1437887	-	270	0	0	0	0	0	159	63	91	43	62
gene1793	CP007536.1	1437932	1439497	-	1566	160	382	22	190	0	4883	3890	4253	1966	3331
gene1794	CP007536.1	1439490	1440329	-	840	136	38	116	0	0	688	990	997	416	467
gene1795	CP007536.1	1440371	1441678	-	1308	5524	7386	4823	5017	6140	8926	5900	8985	4813	7086
gene1796	CP007536.1	1441767	1444457	+	2691	228	124	316	249	26	11397	10426	15672	7914	9274
gene1797	CP007536.1	1444616	1445431	+	816	222	560	164	0	818	4093	2278	3587	1971	3253
gene1798	CP007536.1	1445596	1445925	+	330	0	0	0	0	0	240	395	345	174	131
gene1799	CP007536.1	1445922	1446245	-	324	0	52	0	0	0	910	760	864	530	650
gene1800	CP007536.1	1446396	1448297	-	1902	270	438	267	426	168	12191	9896	9756	5553	7743
gene1801	CP007536.1	1448339	1448545	-	207	0	12	0	0	0	653	943	1036	331	431
gene1802	CP007536.1	1448630	1448758	+	129	0	0	34	0	0	59	206	124	48	48
gene1803	CP007536.1	1448967	1449197	-	231	0	0	0	0	0	119	98	153	62	48
gene1804	CP007536.1	1449766	1450386	-	621	0	0	0	0	0	300	499	440	212	136
gene1805	CP007536.1	1450396	1451211	-	816	0	0	0	0	0	320	279	587	255	357
gene1806	CP007536.1	1451259	1451432	-	174	0	0	0	0	0	30	31	88	39	20
gene1807	CP007536.1	1451465	1452256	-	792	8255	10016	12569	7097	6205	8097	13720	18831	9086	7610
gene1808	CP007536.1	1452743	1453705	+	963	0	0	0	89	0	151	110	208	102	148
gene1809	CP007536.1	1454053	1454571	+	519	0	0	0	0	0	234	330	214	106	137
gene1810	CP007536.1	1454632	1454790	-	159	0	0	0	82	20	14	64	2	4	8
gene1811	CP007536.1	1454735	1455037	-	303	0	0	0	0	0	8	72	21	18	0
gene1812	CP007536.1	1455106	1455192	+	87	0	0	0	0	0	8	72	19	0	0
gene1813	CP007536.1	1455221	1455565	-	345	270	438	50	0	122	314	324	377	159	229
gene1814	CP007536.1	1455635	1455940	-	306	154	0	6	0	0	3527	2840	3200	1754	2653
gene1815	CP007536.1	1455912	1456559	-	648	726	886	772	312	896	4313	4248	4196	1884	2329
gene1816	CP007536.1	1456595	1456762	-	168	0	91	24	0	0	795	899	1340	412	473
gene1817	CP007536.1	1456838	1457194	+	357	2857	1582	1225	622	914	679	888	1358	720	514
gene1818	CP007536.1	1457235	1457495	+	261	417	133	145	245	0	6608	4240	4974	1978	3871
gene1819	CP007536.1	1457509	1458000	-	492	129	22	136	18	0	8274	3711	5014	2847	5123
gene1820	CP007536.1	1458078	1459082	+	1005	26	66	0	0	0	2736	1891	1746	781	1337
gene1821	CP007536.1	1459079	1459399	-	321	34	40	62	126	0	495	239	272	103	218
gene1822	CP007536.1	1459461	1460159	+	699	84	150	24	330	102	3478	2405	2571	1133	1573
gene1823	CP007536.1	1460152	1460916	+	765	38	0	64	0	0	1385	753	664	466	599
gene1824	CP007536.1	1460885	1461322	-	438	66	208	202	14	232	1180	941	1219	578	1140
gene1825	CP007536.1	1461683	1461859	-	177	0	50	0	0	0	107	132	88	81	143
gene1826	CP007536.1	1461904	1463088	-	1185	504	1122	532	366	434	9632	9175	12863	5975	7999
gene1827	CP007536.1	1463197	1463793	-	597	392	460	588	348	0	2088	1737	3425	1606	1937
gene1828	CP007536.1	1463790	1464242	-	453	4161	4581	3518	2526	1687	13213	11326	17911	9492	11863
gene1829	CP007536.1	1464348	1464716	-	369	425	334	916	252	166	1828	2475	2687	1170	1182
gene1830	CP007536.1	1464789	1466312	-	1524	5647	4511	4566	3996	6656	38423	25514	28306	15052	24303
gene1831	CP007536.1	1466663	1467460	-	798	98	0	0	78	0	851	801	844	410	1067
gene1832	CP007536.1	1467587	1468156	-	570	10925	11570	7323	4702	1679	956	1478	2950	1587	1192
gene1833	CP007536.1	1468153	1468917	-	765	837	386	684	833	1048	1698	1236	1500	549	941
gene1834	CP007536.1	1468890	1469336	-	447	0	0	0	0	0	485	509	353	198	443
gene1835	CP007536.1	1469469	1470056	+	588	232	140	85	0	54	3029	2742	1923	700	1426
gene1836	CP007536.1	1470057	1470851	+	795	78	21	42	0	322	5531	3676	3012	1357	2199
gene1837	CP007536.1	1470843	1471154	-	312	0	32	0	0	0	431	778	405	170	236
gene1838	CP007536.1	1471160	1471567	-	408	168	228	89	0	273	2015	2087	1852	899	1059
gene1839	CP007536.1	1471602	1471961	-	360	128	121	142	500	294	1566	1626	2178	1045	1433
gene1840	CP007536.1	1471967	1472458	-	492	212	0	40	62	260	4736	4074	4536	2231	3055
gene1841	CP007536.1	1472831	1472896	-	66	0	0	0	0	0	0	5	0	0	0
gene1842	CP007536.1	1472916	1473203	+	288	0	0	0	0	0	84	14	43	53	26
gene1843	CP007536.1	1473367	1474269	-	903	42	28	0	180	2	1989	1594	2163	879	1240
gene1844	CP007536.1	1474305	1474940	+	636	33	60	0	0	128	630	748	784	338	481
gene1845	CP007536.1	1475086	1475493	+	408	5290	6378	3737	3048	3708	2145	2556	2723	1182	1426
gene1846	CP007536.1	1479024	1479617	-	594	42	0	0	28	0	80	193	142	46	159
gene1847	CP007536.1	1479614	1479910	-	297	0	0	0	0	0	164	135	267	96	101
gene1848	CP007536.1	1479907	1480863	-	957	52	107	0	84	426	1542	1329	1922	1220	2083
gene1849	CP007536.1	1480860	1481507	-	648	350	382	520	116	1305	3996	3201	3454	1937	3404
gene1850	CP007536.1	1481495	1483681	-	2187	242	130	28	0	224	8146	7541	8441	4309	6261
gene1851	CP007536.1	1483665	1484408	-	744	208	68	154	96	115	13149	11069	11393	7557	10856
gene1852	CP007536.1	1484408	1485349	-	942	1130	1548	886	1407	1789	27070	20416	23247	13700	18317
gene1853	CP007536.1	1485346	1487055	-	1710	515	874	740	748	2267	17614	17868	22515	12612	16470
gene1854	CP007536.1	1487135	1487749	-	615	0	0	0	0	0	547	462	571	323	339
gene1855	CP007536.1	1487760	1488617	-	858	144	76	128	0	132	1104	1021	1141	659	826
gene1856	CP007536.1	1488623	1488925	-	303	94	11	26	128	0	279	229	250	159	152
gene1857	CP007536.1	1488977	1489828	-	852	2280	3410	2369	1428	1538	4396	2505	3227	1777	2332
gene1858	CP007536.1	1489907	1490437	+	531	194	86	106	314	352	2770	2097	1883	888	1479
gene1859	CP007536.1	1490430	1491698	-	1269	458	490	262	350	1085	4668	1630	2674	1287	2692
gene1860	CP007536.1	1491670	1491735	+	66	0	0	0	0	0	0	0	0	0	0
gene1861	CP007536.1	1491756	1493345	+	1590	2638	1806	1982	1965	1916	14791	10973	12156	6209	9536
gene1862	CP007536.1	1493480	1494136	+	657	0	0	0	0	0	1637	1397	1410	538	931
gene1863	CP007536.1	1494133	1494843	-	711	119	135	22	143	0	3049	1590	1749	1104	2329
gene1864	CP007536.1	1494785	1496104	-	1320	1066	954	771	514	1419	14324	7915	8573	4472	8402
gene1865	CP007536.1	1496263	1496556	+	294	46	0	0	0	0	210	96	135	51	62
gene1866	CP007536.1	1496617	1497183	+	567	230	242	68	100	52	5666	4343	4341	2594	3803
gene1867	CP007536.1	1497180	1497596	+	417	0	0	0	0	0	732	598	576	274	400
gene1868	CP007536.1	1497682	1498287	+	606	258	0	240	0	419	16097	8655	11582	6859	10772
gene1869	CP007536.1	1498327	1499193	+	867	848	1037	714	554	652	4989	4873	7711	3595	4959
gene1870	CP007536.1	1499232	1499846	+	615	186	30	122	0	59	3713	3184	4164	2115	2608
gene1871	CP007536.1	1499861	1500493	-	633	872	891	1056	1105	450	3479	3587	4475	2264	3104
gene1872	CP007536.1	1500557	1501705	+	1149	617	970	696	588	972	3553	1859	2958	1340	2500
gene1873	CP007536.1	1501689	1502864	-	1176	2553	2904	1752	1831	1764	8628	7915	11674	6986	7644
gene1874	CP007536.1	1503006	1503506	+	501	0	0	0	0	0	1192	1069	1015	379	456
gene1875	CP007536.1	1503507	1505171	-	1665	1423	2609	1279	1302	371	3449	3009	4699	2330	3198
gene1876	CP007536.1	1505184	1505399	+	216	0	0	0	0	0	123	258	224	76	54
gene1877	CP007536.1	1505446	1505664	+	219	0	0	0	0	126	818	630	665	347	379
gene1878	CP007536.1	1505654	1506502	-	849	0	12	0	0	0	1442	1148	1170	530	922
gene1879	CP007536.1	1506504	1508321	-	1818	1080	418	593	873	188	9144	6089	7005	3628	6038
gene1880	CP007536.1	1508285	1508491	-	207	24	8	0	50	0	171	106	50	39	52
gene1881	CP007536.1	1508605	1508745	+	141	24	0	0	0	72	141	50	56	27	46
gene1882	CP007536.1	1508746	1509333	+	588	0	0	0	0	0	42	58	82	12	40
gene1883	CP007536.1	1509356	1509471	+	116	0	0	0	0	0	0	0	0	0	0
gene1884	CP007536.1	1509485	1510057	-	573	153	22	156	66	276	1425	1332	1539	785	1179
gene1885	CP007536.1	1510066	1511619	-	1554	860	482	593	1061	909	5068	3806	5333	2677	3589
gene1886	CP007536.1	1511662	1512093	-	432	243	154	462	124	50	598	1114	1059	307	267
gene1887	CP007536.1	1512167	1513879	+	1713	4153	3990	3597	2536	2920	22750	14388	16156	7206	13318
gene1888	CP007536.1	1513866	1514846	+	981	4968	5858	3773	3508	3643	17663	8601	9656	5559	9130
gene1889	CP007536.1	1514848	1515513	+	666	34	184	62	0	96	3054	3096	2605	1071	1675
gene1890	CP007536.1	1515510	1517114	-	1605	441	1161	386	54	790	6063	4968	5961	3208	5157
gene1891	CP007536.1	1517101	1517931	-	831	177	336	359	138	356	3989	3356	3893	1997	2943
gene1892	CP007536.1	1518024	1518587	+	564	504	342	144	183	70	1820	3008	7156	2575	2453
gene1893	CP007536.1	1518598	1519974	-	1377	150509	59823	101280	114278	13666	70327	98741	363656	136410	137182
gene1894	CP007536.1	1520136	1520471	+	336	568	677	126	656	184	2279	3814	5649	2121	2299
gene1895	CP007536.1	1520486	1521112	-	627	0	232	105	114	256	1651	2023	2947	1875	1821
gene1896	CP007536.1	1521123	1521338	+	216	314	110	54	442	496	427	1059	1774	488	354
gene1897	CP007536.1	1521471	1521746	+	276	32	0	80	0	0	1155	1142	1150	422	733
gene1898	CP007536.1	1521961	1522440	-	480	38	85	94	0	0	257	313	361	146	192
gene1899	CP007536.1	1522860	1523195	+	336	66	66	0	0	0	126	165	183	84	115
gene1900	CP007536.1	1523202	1523543	+	342	28	0	0	164	0	89	63	179	65	81
gene1901	CP007536.1	1523625	1524650	-	1026	55	32	0	0	0	386	225	306	175	145
gene1902	CP007536.1	1524917	1525270	-	354	16	52	0	0	0	300	408	609	311	274
gene1903	CP007536.1	1525457	1526383	+	927	6529	6864	7848	8229	13112	9215	4484	6918	3353	7781
gene1904	CP007536.1	1526422	1527447	-	1026	0	0	0	0	70	210	297	180	124	64
gene1905	CP007536.1	1527558	1528568	-	1011	719	877	140	756	0	380	510	731	428	351
gene1906	CP007536.1	1528517	1528675	-	159	0	0	0	0	0	0	0	0	0	0
gene1907	CP007536.1	1528672	1529745	-	1074	94	0	0	0	0	110	97	184	61	110
gene1908	CP007536.1	1529447	1529845	+	399	0	0	0	0	0	22	28	21	4	0
gene1909	CP007536.1	1530142	1530432	+	291	0	30	0	0	0	20	48	60	19	28
gene1910	CP007536.1	1530579	1531028	+	450	44	86	100	0	104	434	454	315	154	218
gene1911	CP007536.1	1531344	1532081	+	738	436	610	226	368	164	1481	1729	1935	934	1493
gene1912	CP007536.1	1532157	1533140	-	984	1126	682	738	959	1589	573	484	747	469	551
gene1913	CP007536.1	1533412	1534293	+	882	3552	3186	3812	3198	2890	12857	22697	49817	23665	19158
gene1914	CP007536.1	1534539	1535846	+	1308	16	96	0	0	92	1362	1063	1500	878	1420
gene1915	CP007536.1	1535960	1536607	-	648	456	536	451	116	108	802	892	1173	620	517
gene1916	CP007536.1	1536739	1537188	+	450	0	0	0	0	0	96	70	100	11	50
gene1917	CP007536.1	1537380	1538405	+	1026	76	128	70	0	0	352	548	742	305	492
gene1918	CP007536.1	1538476	1540299	+	1824	12	0	6	0	68	1235	1385	1913	727	870
gene1919	CP007536.1	1540374	1540619	-	246	82	32	4	0	0	66	123	124	57	14
gene1920	CP007536.1	1540795	1541634	-	840	288	240	84	183	28	1358	1486	1722	554	862
gene1921	CP007536.1	1541960	1542916	+	957	0	0	0	0	0	194	158	118	116	70
gene1922	CP007536.1	1543147	1543812	-	666	4453	4860	4455	4763	3251	4573	3120	5350	2741	3298
gene1923	CP007536.1	1544181	1544555	+	375	3026	1337	1297	1892	1797	1532	2848	2610	1280	1665
gene1924	CP007536.1	1544807	1545889	+	1083	40	90	76	0	0	863	942	1199	536	498
gene1925	CP007536.1	1545990	1546169	+	180	0	42	0	0	0	162	590	470	184	153
gene1926	CP007536.1	1546578	1546811	+	234	0	0	0	0	0	789	802	1170	497	915
gene1927	CP007536.1	1546847	1547779	+	933	3	0	0	0	0	2206	2337	3338	2019	1997
gene1928	CP007536.1	1547805	1549103	+	1299	10	0	32	0	0	625	914	1174	564	601
gene1929	CP007536.1	1549230	1549427	+	198	0	12	0	0	0	278	298	282	127	82
gene1930	CP007536.1	1549517	1549933	+	417	0	36	0	0	0	1435	1430	1594	653	1164
gene1931	CP007536.1	1549930	1550475	+	546	28	0	0	0	0	2158	1644	1682	1002	1481
gene1932	CP007536.1	1551155	1551769	-	615	0	0	0	0	0	404	396	273	174	134
gene1933	CP007536.1	1551830	1552015	-	186	0	0	0	0	0	4	12	2	1	0
gene1934	CP007536.1	1552056	1552127	+	72	0	0	0	0	0	1	0	0	1	0
gene1935	CP007536.1	1552138	1552873	-	736	114	46	16	0	0	792	882	1160	625	979
gene1936	CP007536.1	1553127	1553333	+	207	109	4	107	0	0	203	182	185	78	67
gene1937	CP007536.1	1553509	1554258	-	750	187	388	141	0	204	957	679	1091	556	396
gene1938	CP007536.1	1554522	1555055	-	534	176	166	0	0	180	3497	3582	2981	1531	1811
gene1939	CP007536.1	1555168	1555836	-	669	3667	2830	2798	1327	2650	1753	3252	4937	2648	2628
gene1940	CP007536.1	1555897	1556328	-	432	648	423	222	380	139	5840	5610	5441	2321	3453
gene1941	CP007536.1	1556377	1556712	-	336	174	171	174	96	98	1800	1849	1850	638	753
gene1942	CP007536.1	1556723	1557214	-	492	214	506	228	400	0	1580	1316	1218	466	785
gene1943	CP007536.1	1557338	1558411	+	1074	4201	2400	3154	2059	2849	2357	1711	2574	1211	1611
gene1944	CP007536.1	1558453	1558881	+	429	956	1096	941	1089	1168	5023	4429	5047	2296	3377
gene1945	CP007536.1	1558884	1560026	+	1143	594	716	694	132	148	3137	2653	4027	2154	2551
gene1946	CP007536.1	1560001	1560516	+	516	4	90	0	0	0	233	132	211	112	194
gene1947	CP007536.1	1560640	1561008	-	369	48	28	0	0	0	933	786	867	382	782
gene1948	CP007536.1	1561024	1561500	-	477	360	76	114	0	382	912	499	1514	800	1092
gene1949	CP007536.1	1561497	1561820	-	324	0	0	0	0	78	377	351	502	175	419
gene1950	CP007536.1	1561848	1562522	-	675	106	26	70	0	164	3451	2113	2136	1100	1556
gene1951	CP007536.1	1562646	1564586	+	1941	122	10	74	0	178	4675	1768	1645	764	2203
gene1952	CP007536.1	1564633	1567107	+	2475	406	572	504	229	452	12567	6490	5500	3145	6120
gene1953	CP007536.1	1567104	1567949	-	846	172	30	198	0	150	2432	1739	2157	906	1277
gene1954	CP007536.1	1567946	1568824	-	879	56	0	0	156	68	745	526	1117	501	732
gene1955	CP007536.1	1568821	1569492	-	672	999	283	504	0	80	2822	1812	2612	1676	2275
gene1956	CP007536.1	1569516	1570154	-	639	344	92	269	50	1	5378	4070	5915	2840	3963
gene1957	CP007536.1	1570094	1570516	-	423	29	0	0	0	0	754	331	344	99	286
gene1958	CP007536.1	1570558	1570674	-	117	270	76	0	335	0	73	21	4	2	7
gene1959	CP007536.1	1570701	1570883	-	183	140	0	0	190	0	24	92	17	7	16
gene1960	CP007536.1	1571192	1571362	-	171	0	0	0	0	0	95	54	89	30	54
gene1961	CP007536.1	1571633	1571827	+	195	0	0	0	0	0	44	62	28	9	28
gene1962	CP007536.1	1571930	1573654	+	1725	628	670	592	408	599	1035	1228	1797	803	882
gene1963	CP007536.1	1573702	1574259	+	558	79	0	76	0	11	2344	1750	1983	809	1521
gene1964	CP007536.1	1574251	1575459	-	1209	2429	1981	1584	1478	1390	3952	2898	4573	2034	3284
gene1965	CP007536.1	1575485	1575643	+	159	0	0	38	0	0	319	432	271	95	276
gene1966	CP007536.1	1575656	1576402	-	747	1050	1206	1255	1324	2096	13556	6675	6055	3200	5442
gene1967	CP007536.1	1576497	1576688	+	192	0	0	0	0	0	181	192	270	67	119
gene1968	CP007536.1	1576802	1577467	-	666	10	0	0	0	0	209	298	303	96	126
gene1969	CP007536.1	1577678	1577956	+	279	111	232	247	184	122	178	158	315	140	185
gene1970	CP007536.1	1577953	1578534	-	582	116	114	16	0	0	115	266	389	186	258
gene1971	CP007536.1	1578655	1578945	-	291	140	38	0	0	0	486	412	489	160	248
gene1972	CP007536.1	1578990	1579574	-	585	108	66	98	192	130	2382	1431	1745	784	1409
gene1973	CP007536.1	1579651	1581117	+	1467	254	518	530	501	406	24306	13392	14625	6375	11585
gene1974	CP007536.1	1581428	1582273	+	846	737	2685	1165	218	263	946	965	2333	1041	599
gene1975	CP007536.1	1582274	1582528	-	255	22	0	0	59	25	382	253	402	155	216
gene1976	CP007536.1	1582538	1582816	-	279	0	0	79	0	20	158	273	288	110	178
gene1977	CP007536.1	1582995	1584686	+	1692	0	110	0	0	0	1464	1463	1825	950	1154
gene1978	CP007536.1	1584740	1585042	+	303	0	0	0	0	0	398	384	468	191	400
gene1979	CP007536.1	1585108	1586022	-	915	1497	772	999	1310	818	1835	1535	3468	1825	1749
gene1980	CP007536.1	1585958	1586551	-	594	387	305	284	196	376	1288	1175	831	386	839
gene1981	CP007536.1	1586599	1587288	-	690	0	0	0	0	0	22	158	91	42	60
gene1982	CP007536.1	1587500	1588156	+	657	320	526	494	418	94	1939	1587	1884	883	1412
gene1983	CP007536.1	1588280	1589317	-	1038	236	294	106	238	334	2941	2911	4318	2436	2632
gene1984	CP007536.1	1589452	1590192	+	741	0	40	0	0	0	1556	953	943	424	676
gene1985	CP007536.1	1590167	1590976	+	810	39	0	30	0	0	3852	3062	2152	931	1670
gene1986	CP007536.1	1591081	1591314	+	234	16	1	0	0	0	475	244	220	109	241
gene1987	CP007536.1	1591334	1591711	+	378	0	0	0	0	0	175	96	56	19	127
gene1988	CP007536.1	1591752	1591961	-	210	1036	707	1275	1412	856	2645	2929	4572	1838	2671
gene1989	CP007536.1	1591976	1592626	-	651	11584	4924	12875	7817	9650	30113	36017	42585	24459	33208
gene1990	CP007536.1	1592814	1594199	-	1386	40	26	0	0	0	461	304	603	259	277
gene1991	CP007536.1	1594494	1594790	-	297	0	27	50	40	0	2289	1327	1095	559	847
gene1992	CP007536.1	1594820	1595434	+	615	38	0	70	0	348	818	267	304	178	268
gene1993	CP007536.1	1595448	1595939	+	492	66	26	98	0	0	1290	1046	1656	626	842
gene1994	CP007536.1	1595986	1596714	-	729	0	64	0	0	0	410	210	422	222	460
gene1995	CP007536.1	1597055	1597237	-	183	226	208	12	390	0	1294	1051	1248	630	1098
gene1996	CP007536.1	1597478	1599013	-	1536	126	246	1	24	178	2028	1286	1561	804	1027
